station_id,num_docks_disabled,station_status,eightd_has_available_keys,is_installed,legacy_id,num_ebikes_available,num_docks_available,last_reported,num_bikes_disabled,is_renting,is_returning,num_bikes_available,eightd_active_station_services,valet
4109,0,active,False,1,4109,0,21,1656537455,0,1,1,0,,
4110,0,active,False,1,4110,2,6,1656545675,2,1,1,21,,
4111,0,active,False,1,4111,0,38,1656546111,3,1,1,5,,
4112,0,active,False,1,4112,5,7,1656545990,1,1,1,10,,
4113,0,active,False,1,4113,0,12,1656543662,1,1,1,9,,
4114,0,active,False,1,4114,1,14,1656545900,3,1,1,8,,
4115,0,active,False,1,4115,0,18,1656544453,1,1,1,6,,
4116,0,active,False,1,4116,0,5,1656540294,0,1,1,13,,
4117,0,active,False,1,4117,1,2,1656545715,0,1,1,25,,
4118,0,active,False,1,4118,1,25,1656546121,3,1,1,14,,
4120,0,active,False,1,4120,0,39,1656545530,3,1,1,0,,
4121,0,active,False,1,4121,0,45,1656546102,8,1,1,0,,
4122,0,active,False,1,4122,2,38,1656545689,10,1,1,5,,
4123,0,active,False,1,4123,0,32,1656546076,2,1,1,5,,
4124,0,active,False,1,4124,2,12,1656545870,5,1,1,29,,
4125,0,active,False,1,4125,0,28,1656545962,2,1,1,7,,
4126,0,active,False,1,4126,1,6,1656545956,1,1,1,11,,
4127,0,active,False,1,4127,1,18,1656541787,0,1,1,1,,
4128,0,active,False,1,4128,0,24,1656539908,0,1,1,0,,
4129,0,active,False,1,4129,0,19,1656541152,0,1,1,0,,
4130,0,active,False,1,4130,0,14,1656542404,3,1,1,5,,
4131,0,active,False,1,4131,1,6,1656546086,1,1,1,12,,
4132,0,active,False,1,4132,2,15,1656545261,0,1,1,4,,
4133,0,active,False,1,4133,0,18,1656546020,1,1,1,1,,
4134,0,active,False,1,4134,0,21,1656544204,1,1,1,2,,
4135,0,active,False,1,4135,0,20,1656534324,2,1,1,1,,
4136,0,active,False,1,4136,0,18,1656545676,0,1,1,3,,
4137,0,active,False,1,4137,2,22,1656546071,3,1,1,2,,
4138,0,active,False,1,4138,1,12,1656544091,1,1,1,6,,
4139,0,active,False,1,4139,0,18,1656537923,1,1,1,0,,
